"id","permit_","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","reported_cost","community_area","census_tract","ward","latitude","longitude","location",":id",":version",":created_at",":updated_at",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k",":@computed_region_6mkv_f3dw",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_awaf_s7ux"
"3398093","101062058","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-02-05T00:00:00.000","2025-02-24T00:00:00.000","19","2806","N","CLARK ST","SELF-CERT 2019 CBRC: INTERIOR TENANT BUILD-OUT TO CONVERT AN EXIST. RESTAURANT SPACE TO A CAFE IN AN EXIST. 4-STORY MIXED-USE BUILDING WITH TENANT SPACES ON THE FIRST FLOOR AND HOTEL ABOVE. NO HVAC OR PLUMBING WORK. NO EXTERIOR WORK. EXIST. PARKING SPACES TO REMAIN (OCCUPANCY GROUP R-1/B, TYPE III-A CONSTRUCTION, B3-5 ZONING DISTRICT, AA-1 RESTAURANT, LIMITED ZONING OCCUPANCY).","1750","75","0","1825","0","0","0","0","0","0","0","0","1825","150000","6","63400","44","41.93296711062971","-87.6451916460217","POINT (-87.645191646022 41.93296711063)","row-kwer.48px~mkj9","rv-4buq-4qf5~mcis","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","22","57","21190","684","25","38"
"3400751","101063161","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-12-13T00:00:00.000","2025-02-24T00:00:00.000","73","170","W","WASHINGTON ST","2019 CBC SPR: INTERIOR RENOVATION OF AN EXISTING BASEMENT RESTAURANT, REPLACE GROUND FLOOR STOREFRONT DOORS AND WINDOWS WITHIN AN EXISTING MIXED-USE BUILDING A-2 / B OCCUPANCY.","900","75","0","975","0","0","0","0","0","0","0","0","975","100000","32","839100","34","41.88331726083294","-87.63302428430005","POINT (-87.6330242843 41.883317260833)","row-5stm~j2ur~swb4","rv-tzn3.kgc8.3af8","2025-10-14T20:50:16.306Z","2026-01-21T13:19:47.091Z","41","38","14310","92","36","22"
"3398833","101062394","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-11-15T00:00:00.000","2025-02-21T00:00:00.000","98","203","N","LA SALLE ST","SPR 2019 CBC - REPLACE EXISTING WALL FINISHES, FURNITURE FINISHES AND LIGHTING FIXTURES IN EXISTING MCDONALD'S (OCCUPANCY - A-2 (RESTAURANT), CONSTRUCTION TYPE IA)","1700","75","0","1775","0","0","0","0","0","0","0","0","1775","30000","32","839100","42","41.885822047853026","-87.63230373508567","POINT (-87.632303735086 41.885822047853)","row-v9pc~9ut3-5z4f","rv-rcre~iqfk~xaen","2025-10-14T20:50:16.306Z","2025-10-14T20:58:50.306Z","42","38","14309","92","36","22"
"3400534","101063073","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-09T00:00:00.000","2025-02-20T00:00:00.000","73","5257","N","CLARK ST","SELF-CERT 2019 CBRC: TENANT BUILD OUT OF 2,950 SQFT GROUND FLOOR TENANT SPACE INCLUDING BASEMENT IN EXISTING  3 STORY BULDING WITH 2 DWELLING UNITS TO COUNTER SERVICE RESTAURANT (OCCUPANCY GROUP A-2; TYPE IIIB CONSTRUCITON)","2153.5","75","0","2228.5","0","0","0","0","0","0","0","0","2228.5","298000","77","30800","48","41.977908273942674","-87.66820476090506","POINT (-87.668204760905 41.977908273943)","row-xfnw.hbia.ikrc","rv-9hwp_7t3i_amhz","2025-10-14T20:50:16.306Z","2025-10-14T20:58:52.445Z","15","76","22616","540","16","40"
"3403985","101064408","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-19T00:00:00.000","2025-02-18T00:00:00.000","30","360","N","MICHIGAN AVE","SELF-CERT 2019 CBRC: INTERIOR ALTERNATIONS TO AN EXISTING COMMERCIAL SPACE OF APPROXIMATELY 6,800 SQUARE FEET INCLUDING A RESTAURANT, KITCHEN, SERVICE AREA, RETAIL AREA, DINING AREA, RESTROOMS, AND STORAGE ROOMS ON THE GROUND AND CONCOURSE LEVELS. CURRENT OCCUPANCY GROUP M, TYPE 1B CONSTRUCTION. PROPOSED OCCUPANCY GROUP A2, TYPE1B CONSTRUCTION. THE EXISTING BUILDING IS FULLY SPRINKLERED. THE SCOPE OF WORK SHALL CONSIST OF BUT IS NOT LIMITED TO THE FOLLOWING:NEW INTERIOR BUILD-OUT INCLUDING PARTITIONS, CEILINGS, LIGHTING, NEW FLOOR AND WALL FINISHES. ALTERATIONS TO THE EXISTING MECHANICAL, ELECTRICAL, AND PLUMBING SYSTEMS AS PER PLANS.NO STRUCTURAL WORK INCLUDED. THE AUTOMATIC SPRINKLER SYSTEM TO BE DESIGN-BUILT BY THE CONTRACTOR.","5712","75","0","5787","0","0","0","0","0","0","0","0","5787","500000","32","320100","42","41.88814015241156","-87.6246957901013","POINT (-87.624695790101 41.888140152412)","row-qeb2-j4wb-qxpx","rv-u3q8-unvz~7yfv","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","42","38","14309","580","36","22"
"3360877","101041928","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-01-11T00:00:00.000","2025-02-18T00:00:00.000","404","3109","W","IRVING PARK RD","SPR 2019 CBRC - INTERIOR RENOVATION OF EXISTING 1 STORY RESTAURANT IN B3-1 ZONING. MECHANICAL, ELETRICAL AND PLUMBING WORK INCLUDED. ALL WORK AS PER PLANS.","1750","75","0","1825","0","0","0","0","0","0","0","0","1825","15000","16","160700","33","41.95382334127537","-87.70600019639704","POINT (-87.706000196397 41.953823341275)","row-eyba~i28e_4vh6","rv-v735-i3wd.ry6v","2025-10-14T20:50:16.306Z","2025-10-14T21:01:01.579Z","39","16","21538","372","20","2"
"3398477","101062231","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-11-18T00:00:00.000","2025-02-14T00:00:00.000","88","619","N","STATE ST","SPR 2019 CBRC INTERIOR ALTERATIONS TO EXISTING RETAIL TENANT SPACE IN BASEMENT AND FIRST FLOOR FOR NEW RESTAURANT TENANT UNDER 50 OCCUPANTS(CONSTRUCTION TYPE IIIA FS OCC B A2 AND M)","3450","75","0","3525","0","0","0","0","0","0","0","0","3525","250000","8","81500","42","41.893161608192344","-87.62797418165262","POINT (-87.627974181653 41.893161608192)","row-3cfz~figa_tfbs","rv-rdpk_jqr4-9832","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","6","37","21182","626","36","22"
"3404144","101064490","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-21T00:00:00.000","2025-02-13T00:00:00.000","23","250","E","SUPERIOR ST","INTERIOR BUILD-OUT OF AN EXISTING RETAIL SPACE FOR A NEW JUST SALAD QUICK SERVICE RESTAURANT (CONSIDERED BUSINESS USE SINCE WE HAVE LESS THAN 50 OCCUPANTS).  SCOPE INCLUDES NEW INTERIOR WALLS, INTERIOR FINISHES, HVAC, ELECTRICAL, PLUMBING, INSTALLATION OF FOOD PREPARATION EQUIPMENT AND MINOR STRUCTURAL WORK.","900","75","0","975","0","0","0","0","0","0","0","0","975","650000","8","81401","2","41.89589815739559","-87.62077291309295","POINT (-87.620772913093 41.895898157396)","row-ezh8-q2sd_833v","rv-ah6b-bp73.tn9k","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","6","37","21182","158","11","22"
"3395927","101061139","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-10-16T00:00:00.000","2025-02-11T00:00:00.000","118","820","W","RANDOLPH ST","2019 CHICAGO BUILDING CODE - SELF CERT PROGRAM - INTERIOR AND EXTERIOR RENOVATION OF EXISTING 2-STORY III-B MASONRY CLAD BUILDING FOR NEW A-2 ASSEMBLY RESTAURANT.  MEP AND STRUCTURAL INCLUDED. AREA OF WORK  5,788 SF.","4225.24","1500","0","5725.24","0","0","0","0","0","0","0","0","5725.24","300000","28","833000","27","41.88450186781578","-87.64837367655896","POINT (-87.648373676559 41.884501867816)","row-kmsu-r5t7.e993","rv-dy3m.8bxm_mqdm","2025-10-14T20:50:16.306Z","2025-12-13T13:17:57.657Z","44","29","14917","63","46","41"
"3403777","101064330","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-16T00:00:00.000","2025-02-10T00:00:00.000","25","126","E","47TH ST","2019 CBC SELF CERT: INTERIOR RENOVATION OF AN EXISTING GROUND FLOOR TENANT SPACE FOR A NEW GROCERY STORE AND RESTAURANT WITHIN AN EXISTING TWO-STORY COMMERCIAL BUILDING, TYPE III-A CONSTRUCTION, A-2 & M-MERCANTILE OCCUPANCY.","3540.5","75","0","3615.5","0","0","0","0","0","0","0","0","3615.5","100000","38","381500","3","41.80941536126276","-87.62166241018102","POINT (-87.621662410181 41.809415361263)","row-xitn-v5rr_9aj7","rv-5azx-7u7m-2iew","2025-10-14T20:50:16.306Z","2025-10-14T20:58:59.199Z","36","4","4301","354","9","12"
"3404240","101064538","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-22T00:00:00.000","2025-02-07T00:00:00.000","16","259","E","ERIE ST","SELF CERT 2019 CBC: INTERIOR TENANT BUILDOUT FOR A NEW FAST-CASUAL CAVA RESTAURANT IN EXISTING GROUND FLOOR SPACE IN NORTHWESTERN HOSPITAL TO INCLUDE KITCHEN UPGRADES, RESTROOMS, MECHANICAL, PLUMBING & ELECTRICAL WORK AS PER PLANS (OCCUPANCY A-2, TYPE IIB CONSTRUCTION","4493.58","75","0","4568.58","0","0","0","0","0","0","0","0","4568.58","1140000","8","81401","2","41.894085380663164","-87.62040431002175","POINT (-87.620404310022 41.894085380663)","row-ud5n-ch46-3y9r","rv-5jmq~ava9.p5pe","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","6","37","21182","158","36","22"
"3375854","101049991","PERMIT - SIGNS","SIGN PERMIT","2024-04-30T00:00:00.000","2025-02-06T00:00:00.000","282","1104","W","ARGYLE ST","PHO 777NEW ELECTRICAL ID WALL SIGNLOCATION: SOUTH ELEVATIONSIGN FACING: ARGYLE ST.READS: PHO 777 VIETNAMESE RESTAURANT","100","200","0","300","0","0","0","0","0","0","0","0","300","2500","3","31200","48","41.97337889982834","-87.65799855526953","POINT (-87.65799855527 41.973378899828)","row-feya~ufmt-2gww","rv-ub3z.svki.ybut","2025-10-14T20:50:16.306Z","2025-10-14T20:58:50.306Z","15","31","22616","634","16","40"
"3403604","101064265","PERMIT - SIGNS","SIGN PERMIT","2025-01-15T00:00:00.000","2025-02-06T00:00:00.000","22","1316","N","CLYBOURN AVE","CHANNEL LETTERS 'NEW ZAIQA RESTAURANT' 2'X15'","50","200","0","250","0","0","0","0","0","0","0","0","250","5000","8","80400","27","41.90599707532198","-87.64288346529682","POINT (-87.642883465297 41.905997075322)","row-mwc6~qcmu~h7r2","rv-3at8~czbr~cw6x","2025-10-14T20:50:16.306Z","2025-10-14T20:58:50.306Z","54","37","14926","309","46","41"
"3399971","101062849","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-02T00:00:00.000","2025-02-05T00:00:00.000","65","644","W","DIVERSEY PKWY","TENANT BUILD-OUT FOR A PROPOSED TAPESTRY RESTAURANT","2625","75","0","2700","0","0","0","0","0","0","0","0","2700","380000","6","63400","44","41.932902346649634","-87.64528015293615","POINT (-87.645280152936 41.93290234665)","row-tvhh-872n~2hyw","rv-nytz_gg9m-ypnf","2025-10-14T20:50:16.306Z","2026-01-08T13:08:03.733Z","22","57","21190","684","25","38"
"3400934","101063250","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-16T00:00:00.000","2025-02-05T00:00:00.000","51","7912","S","PULASKI RD","SELF CERT 2019 CBC: INTERIOR BUILD-OUT TO EXISTING SINGLE STORY RESTAURANT FOR NEW POLLO CAMPERO AND SITE WORK AS PER PLANS (OCCUPANCY A-2, TYPE IIIB COSNTRUCTION)","1768.06","75","0","1843.06","0","0","0","0","0","0","0","0","1843.06","1250000","70","700200","18","41.749014401931134","-87.72204098184092","POINT (-87.722040981841 41.749014401931)","row-m86j~uat4~62b5","rv-64dg.5c7w~ykcc","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","8","69","4300","571","30","23"
"3397206","101061676","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-17T00:00:00.000","2025-02-04T00:00:00.000","49","4869","S","ARCHER AVE","SELF-CERT 2019 CBC: FULL BUILDING PERMIT FOR INTERIOR BUILD-OUT AT EXISTING VACANT 2,285 GSF COMMERCIAL TENANT SPACE - RESTAURANT (OCCUPANCY GROUP A-2, TYPE III-A CONSTRUCTION). PIN# 19-11-115-013. ZONE = C2-1. WARD = 14.","1750","75","3500","5325","0","0","0","0","0","0","0","0","5325","400000","57","570400","14","41.80476200486155","-87.71921534366503","POINT (-87.719215343665 41.804762004862)","row-kfvw.2fm4.zsc2","rv-b2cp~k6ma~pxgw","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","56","54","22248","698","8","49"
"3401282","101063372","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-17T00:00:00.000","2025-02-04T00:00:00.000","49","531","N","WELLS ST","INTERIOR RENOVATION OF EXISTING COMMERCIAL RESTAURANT IN EXISTING 4-STORY BUILDING W/ BASEMENT AS PER PLANS. TYPE III-A CONSTRUCTION. NO CHANGES TO USE OR OCCUPANCY. (TYPE III-A , A-2 OCCUPANCY)","1750","1575","0","3325","0","0","0","0","0","0","0","0","3325","90000","8","81700","42","41.89162991443056","-87.63392303068903","POINT (-87.633923030689 41.891629914431)","row-7txg-yazz~7prw","rv-k5ry~pie3~36dq","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","55","37","4446","670","36","22"
"3374021","101048883","PERMIT - NEW CONSTRUCTION","STANDARD PLAN REVIEW","2024-05-07T00:00:00.000","2025-02-04T00:00:00.000","273","4305","S","PULASKI RD","SPR 2019 CBRC: NEW CONSTRUCTION OF A SINGLE STORY RESTAURANT WITH A DRIVE THRU AS PER PLANS. NEW TRASH ENCLOSURE AND SITE WORK INCLUDED. (OCCUPANCY A-2, TYPE VA CONSTRUCTION)","3450","75","0","3525","0","0","0","0","0","0","0","0","3525","1400000","57","570100","14","41.814993602943076","-87.7237076952937","POINT (-87.723707695294 41.814993602943)","row-jkdu~kagz_ikxy","rv-ix8a_x4z7.9ryg","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","56","54","22248","563","8","49"
"N2596738","B200407782","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2024-12-04T00:00:00.000","2025-02-04T00:00:00.000","62","6431","N","SHERIDAN RD","SCOPE: NONSTRUCTURAL INTERIOR ALTERATION TO RESTAURANT DINING AREA, REPLACE LIGHT FIXTURES AND CEILING PANELS, REPLACE PLUMBING FIXTURES, NO WORK TO COOKING EQUIPMENT IN KITCHEN.LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), 1ST FLOOR.","250","50","25","325","0","0","0","0","0","0","0","0","325","25000","1","10400","49","41.99913744589947","-87.66051583966306","POINT (-87.660515839663 41.999137445899)","row-zxtf_2t8m_6htv","rv-gu6c_rv4c~sdpd","2025-10-14T20:50:16.306Z","2025-10-14T20:58:47.847Z","9","10","21853","267","5","3"
"N2617788","B200412766","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-31T00:00:00.000","2025-02-03T00:00:00.000","3","2518","N","LINCOLN AVE","LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 1 . LIGHTING OUTLETS: 1. SPECIFIC LOCATION: RESTAURANT.","75","0","25","100","0","0","0","0","0","0","0","0","100","3500","7","70300","43","41.927462367666614","-87.65179320878462","POINT (-87.651793208785 41.927462367667)","row-uaxy_zkyb.en4s","rv-cv5d~yrsu-5cyb","2025-10-14T20:50:16.306Z","2026-03-05T13:13:33.658Z","16","68","21190","769","34","51"
"3392856","101059902","PERMIT - RENOVATION/ALTERATION","DIRECT DEVELOPER SERVICES","2024-09-16T00:00:00.000","2025-02-03T00:00:00.000","140","2020","N","HALSTED ST","DDS 2019 CBRC ADDITION AND ALTERATION TO EXISTING 3 STORY BUILDING TO DECONVERT FROM 4DU TO 2DU FOR NEW RESTAURANT TENANT INCLUDING NEW ELEVATOR SHAFT ADDITION AND EXPANSION OF BASEMENT BELOW EXISTING REAR 1 STORY PORTION. TWO EXISTING 2ND FLOOR DWELLING UNITS TO BE REMOVED AND CONVERTED TO RESTAURANT USE; NO WORK TO TWO 3RD FLOOR DWELLING UNITS TO REMAIN. INTERIOR DEMO UNDER SEPARATE PERMIT 101047893 (CONSTRUCTION TYPE IIIA FS OCC TYPE A2 R2) CONSULTANT REVIEWER: V3 COMPANIES OF IL","10596","625","0","11221","0","0","0","0","0","0","0","0","11221","1000050","7","71100","43","41.91883058862089","-87.64868108652085","POINT (-87.648681086521 41.918830588621)","row-8jfy_2qkp.nkm2","rv-y5ww_qbx4.swtc","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","16","68","21190","744","34","51"
"N2616327","B200412457","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-29T00:00:00.000","2025-01-30T00:00:00.000","1","240","E","35TH ST","REPAIR OR IN-KIND REPLACEMENT OF 3 PLUMBING FIXTURES AS DESCRIBED IN PERMIT APPLICATION.  REPAIR OR IN-KIND REPLACEMENT OF HOT WATER HEATER(S).  INCLUDES REPAIR OR REPLACMENT OF PLUMBING PIPING.  LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), INSIDE RESTAURANT BUSINESS.","0","0","25","25","0","0","0","0","225","0","0","225","250","3800","35","350700","4","41.83118341297423","-87.62017889397112","POINT (-87.620178893971 41.831183412974)","row-3wve-k4fu~qshg","rv-zh7z_nqr7-3kim","2025-10-14T20:50:16.306Z","2025-11-05T13:12:55.511Z","40","1","21194","190","10","48"
"N2616560","B200412510","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-29T00:00:00.000","2025-01-29T00:00:00.000","0","5223","W","NORTH AVE","LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 5 . LIGHTING OUTLETS: 5. SPECIFIC LOCATION: INTERIOR AREA OF RESTAURANT.","75","0","0","75","0","0","0","0","0","0","0","0","75","250","25","250700","37","41.90938258679084","-87.75653140352952","POINT (-87.75653140353 41.909382586791)","row-xpxf.m8pq.wkb7","rv-pkdr.p594_p37q","2025-10-14T20:50:16.306Z","2025-10-14T20:58:47.847Z","5","26","22615","599","45","4"
"3403736","101064324","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-24T00:00:00.000","2025-01-29T00:00:00.000","5","2470","N","LINCOLN AVE","SELF-CERT 2019 CBRC: ALTERATION OF AN EXISTING 1,712 GSF GROUND LEVEL COMMERCIAL-RESTAURANT A-2 SPACE. AREA OF WORK AT GROUND LEVEL ONLY. EXISTING BASEMENT, SECOND, AND THIRD LEVEL AREAS ARE EXISTING TO REMAIN. NEW EXTERIOR STOREFRONT SYSTEM BUT OTHERWISE NO EXTERIOR WORK. TOTAL BUILDING AREA = 5,273 GSF.(OCCUPANCY GROUP A-2 AT AREA OF WORK WITH EXISTING R-5 ABOVE); TYPE III-A CONSTRUCTION","1750","1575","0","3325","0","0","0","0","0","0","0","0","3325","250000","7","70300","43","41.92687231925592","-87.650968355266","POINT (-87.650968355266 41.926872319256)","row-byc7~zggh-qqsk","rv-txe7_ei8a-dgym","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","16","68","21190","769","34","51"
"3401388","101063407","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-17T00:00:00.000","2025-01-29T00:00:00.000","43","749","W","31ST ST","TENANT BUILD-OUT FOR A PROPOSED JET'S PIZZA RESTAURANT","900","75","0","975","0","0","0","0","0","0","0","0","975","200000","60","839800","11","41.837941251985534","-87.64579539488027","POINT (-87.64579539488 41.837941251986)","row-xqxm~vt22_8yb4","rv-swtb_3akb.7vyc","2025-10-14T20:50:16.306Z","2026-01-08T13:08:03.733Z","40","58","14920","149","48","26"
"3403935","101064390","PERMIT - RENOVATION/ALTERATION","SELF CERT","2025-01-26T00:00:00.000","2025-01-28T00:00:00.000","2","980","N","MICHIGAN AVE","SELF-CERT 2019 CBRC: INTERIOR ALTERATIONS IN EXISTING OFFICE BUILDING ON THE 2ND FLOOR RESTAURANT/DINING SPACE SUITE 230. PARTITION, ELECTRICAL, PLUMBING AND VENTILATION WORK AS PER PLANS. (OCCUPANCY GROUP A2; TYPE 1A CONSTRUCTION)","3076.38","75","0","3151.38","0","0","0","0","0","0","0","0","3151.38","250000","8","81201","42","41.90080164945196","-87.6242724679302","POINT (-87.62427246793 41.900801649452)","row-izb8-rhd9~sbbz","rv-2x8z-krct.3x2y","2025-10-14T20:50:16.306Z","2025-10-14T21:01:07.373Z","6","37","21182","104","36","22"
"N2611072","B200411346","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-16T00:00:00.000","2025-01-27T00:00:00.000","11","600","E","GRAND AVE","LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 8 . LIGHTING OUTLETS: 56. SPECIFIC LOCATION: INTERIOR SEATING/BAR AREA OF RESTAURANT.","0","0","25","25","0","0","0","0","75","0","0","75","100","23000","8","81400","42","41.892094136861786","-87.61156988394656","POINT (-87.611569883947 41.892094136862)","row-bqci_k4sm.f6zr","rv-qwfh-enaw.2k2k","2025-10-14T20:50:16.306Z","2026-02-26T13:18:51.287Z","6","37","21182","534","36","22"
"3396192","101061224","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-10-18T00:00:00.000","2025-01-24T00:00:00.000","98","20","N","MICHIGAN AVE","SC 2019 CBRC: INTERIOR ALTERATION OF EXISTING RESTAURANT IN MIXED USE COMMERCIAL BUILDING (OCC. GRP.  B; CONST. TYPE IV)","984.56","75","0","1059.56","0","0","0","0","0","0","0","0","1059.56","125000","32","320100","34","41.88254020245772","-87.62453094472777","POINT (-87.624530944728 41.882540202458)","row-bvnq-6sja-wkwm","rv-d2af_7gf3~68df","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","41","38","14310","580","36","22"
"N2612049","B200411589","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-20T00:00:00.000","2025-01-23T00:00:00.000","3","11611","S","HALSTED ST","LINE VOLTAGE ELECTRICAL WORK. REPAIR OR ALTER DEVICES ON EXISTING CIRCUITS. RECEPTACLE OUTLETS: 50 . LIGHTING OUTLETS: 20. SPECIFIC LOCATION: 1 FLOOR FAST FOOD RESTAURANT.","75","0","25","100","0","0","0","0","0","0","0","0","100","2000","53","530200","21","41.6836128215946","-87.6419580953925","POINT (-87.641958095392 41.683612821595)","row-mbi9~2nb6.wjvs","rv-dcc7~fbgx.agub","2025-10-14T20:50:16.306Z","2025-10-14T20:58:59.199Z","19","50","21861","255","22","45"
"3393581","101060186","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-09-25T00:00:00.000","2025-01-23T00:00:00.000","120","2325","S","MICHIGAN AVE","INTERNAL RENOVATIONS TO CONVERT EXISTING 1ST FLOOR COMMERCIAL SPACE IN AN EXISTING 2 STORY MIXED USE BUILDING TO RESTAURANT, PER PLANS.","6247.8","75","0","6322.8","0","0","0","0","0","0","0","0","6322.8","250000","33","841000","3","41.85034458915783","-87.62359483192921","POINT (-87.623594831929 41.850344589158)","row-xpy6.v43z-37y2","rv-nq8a_6cxy_i7nd","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","40","34","21194","193","9","48"
"3391916","101059421","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2024-09-07T00:00:00.000","2025-01-23T00:00:00.000","138","312","E","51ST ST","SPR 2019 CBRC EXISTING 2 STORY BLDG WITH ALTERATIONS. INTERIOR BUILD OUT FROM RETAIL TO RESTAURANT. NEW DRYWALL PARTITIONS AND INSTALLATION OF DRYWALL AND ACOUSTIC CEILING AND FLOOR REPAIRS, WALL, FLOOR AND CEILING FINISHES AND MECHANICAL DUCTWORK IMSTALLATION, PLUMBING AND ELECTRICAL WORK AS PER PLANS CONSTRUCTION TYPE: IIIAOCCUPANCY TYPE: A2(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)","2350","75","0","2425","0","0","0","0","0","0","0","0","2425","223500","38","381800","3","41.802171952804656","-87.61881927498578","POINT (-87.618819274986 41.802171952805)","row-iqku.aqu9~5htj","rv-bw86~qqm8.bmy4","2025-10-14T20:50:16.306Z","2025-10-14T21:01:03.725Z","10","4","21192","449","9","12"
"N2587184","B200405438","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2024-11-12T00:00:00.000","2025-01-21T00:00:00.000","70","2312","S","ARCHER AVE","REPAIR OR IN-KIND REPLACEMENT OF 2 PLUMBING FIXTURES AS DESCRIBED IN PERMIT APPLICATION.  INCLUDES REPAIR OR REPLACMENT OF PLUMBING PIPING.  LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), 1 INTERIOR COMMON AREAS, INSIDE RESTAURANT.","300","0","25","325","0","0","0","0","0","0","0","0","325","1200","34","340200","11","41.85081242378108","-87.63933729109915","POINT (-87.639337291099 41.850812423781)","row-if7z~gche~h7wg","rv-rvdx_i6t6_hyuq","2025-10-14T20:50:16.306Z","2026-02-20T13:13:18.975Z","40","35","21194","3","48","8"
"3401738","101063557","PERMIT - RENOVATION/ALTERATION","SELF CERT","2024-12-20T00:00:00.000","2025-01-13T00:00:00.000","24","1737","N","DAMEN AVE","SELF-CERT 2019 CBRC: INTERIOR ALTERATION OF EXISTING COMMERCIAL SPACE FOR NEW RESTAURANT AT FIRST FLOOR AND BASEMENT OF 3 FLOOR EXISTING BUILDING WITH 2 DWELLING UNITS.  NO WORK TO DWELLING UNITS ABOVE(OCCUPANCY GROUP A-2; TYPE IIIB CONSTRUCTION)","1750","75","0","1825","0","0","0","0","0","0","0","0","1825","700000","24","240300","32","41.91339647427191","-87.67738274106416","POINT (-87.677382741064 41.913396474272)","row-r5ye-f3kc-d6dr","rv-ywi6_vbwa_2jkg","2025-10-14T20:50:16.306Z","2025-10-14T21:02:47.904Z","4","25","21560","438","40","16"
"N2608731","B200410841","PERMIT – EXPRESS PERMIT PROGRAM","EXPRESS PERMIT PROGRAM","2025-01-10T00:00:00.000","2025-01-10T00:00:00.000","0","5737","W","IRVING PARK RD","INSTILL FIRE RATED DOOR AT STAIRCASE. NO ACCESS TO BUSINESS PATRONS. NO OTHER WORK. LOCATIONS: 0 RESIDENTIAL UNIT(S), 1 NON-RESIDENTIAL UNIT(S), WITHIN RESTAURANT.","175","0","0","175","0","0","0","0","0","0","0","0","175","500","15","150600","38","41.95302030864294","-87.77096800058055","POINT (-87.770968000581 41.953020308643)","row-sgw4~gani-ghck","rv-69ic.tkjm.enwk","2025-10-14T20:50:16.306Z","2025-10-14T21:05:01.132Z","52","15","22254","311","19","25"
