"id","permit_","permit_type","review_type","application_start_date","issue_date","processing_time","street_number","street_direction","street_name","work_description","building_fee_paid","zoning_fee_paid","other_fee_paid","subtotal_paid","building_fee_unpaid","zoning_fee_unpaid","other_fee_unpaid","subtotal_unpaid","building_fee_waived","zoning_fee_waived","other_fee_waived","subtotal_waived","total_fee","reported_cost","community_area","census_tract","ward","latitude","longitude","location",":id",":version",":created_at",":updated_at",":@computed_region_rpca_8um6",":@computed_region_vrxf_vc4k",":@computed_region_6mkv_f3dw",":@computed_region_bdys_3d7i",":@computed_region_43wa_7qmu",":@computed_region_awaf_s7ux"
"3105465","100861611","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-11T00:00:00.000","2020-05-11T00:00:00.000","0","3528","N","HARLEM AVE","SELF-CERTIFICATION FOR THE ALTERATION TO EXISTING ORDER COUNTER AREA IN AN TYPE C-2 BUILDING FOR A MCDONALDS RESTAURANT CHANGES INCLUDE NEW MENU BOARD WALL, NEW COUNTERS, NEW FINISHES ON NEW WALL, RELOCATED ELECTRICAL TO SERVE POS AND MENU BOARDS.  THE BUILDING CLASSIFICATION IS III-B, AND THE PROPOSED USE/OCCUPANCY CLASSIFICATION WILL REMAIN UNCHANGED.","3000","75","0","3075","0","0","0","0","0","0","0","0","3075","55000","17","170800","38",,,,"row-i7p4~wz8x.7nz9","rv-ikhr~h7d8.r68j","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z",,,,,,
"3111766","100865542","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2020-03-26T00:00:00.000","2020-05-11T00:00:00.000","46","4645","N","BROADWAY","INTERIOR BUILD-OUT OF EXISTING COMMERCIAL SPACE FOR USE AS A NEW RESTAURANT AS PER PLANS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT **","1500","75","875","2450","0","0","0","0","0","0","0","0","2450","19000","3","830700","46","41.966602794442046","-87.65807716377218","POINT (-87.658077163772 41.966602794442)","row-xtb4~k4ky-4shq","rv-d5xv.b8gt-bnhm","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","15","31","22616","241","39","37"
"3064945","100837557","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2019-11-06T00:00:00.000","2020-05-08T00:00:00.000","184","2925","N","SHEFFIELD AVE","INTERIOR BUILD OUT OF A NEW RESTAURANT W/ INCIDENTAL LIQUOR ON THE GROUND FLOOR AND BASEMENT LEVEL. NO CHANGE TO BUILDING FOOTPRINT, AS PER PLANS.","1655.5","1500","0","3155.5","0","0","0","0","0","0","0","0","3155.5","150000","6","63000","44","41.93525305545176","-87.65380083813606","POINT (-87.653800838136 41.935253055452)","row-iufm.edui.6sx2","rv-atfn-93f3_k5sc","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","22","57","4449","681","25","38"
"3036643","100820279","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2019-07-15T00:00:00.000","2020-05-08T00:00:00.000","298","2030","S","WABASH AVE","RENOVATION OF EXISTING RESTAURANT USE. INTERIOR REMODELING, EXISTING ELECTRICAL SERVICE AND PANELS TO REMAIN. NEW ELECTRICAL DISTRIBUTION AND LIGHTING. NEW MECHANICAL RTU AND DUCT WORK. NEW PLUMBING WORK TO CONNECT TO EXISTING SANITARY LINES. MASONRY WORK IS LIMITED TO NEW BI-FOLD WINDOW IN EXISTING MASONRY WALL. NO WORK IN EXISTING RESIDENTIAL UNITS, MAINTAIN EXISTING FIRE SEPARATION PER PLANS **CERTIFIED PLANS CORRECTIONS: CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS **","2755.4","75","0","2830.4","0","0","0","0","0","0","0","0","2830.4","250000","33","330100","3","41.854549958764004","-87.62568352462287","POINT (-87.625683524623 41.854549958764)","row-5rdu_jjw4-25fn","rv-fupn.ks7w.cnqn","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","40","34","21194","374","9","12"
"3117134","100869247","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-07T00:00:00.000","2020-05-07T00:00:00.000","0","702","N","WELLS ST","SELF-CERT: NEW EXTERIOR CANOPY  ADDITION WITH METAL ROOF ON WOOD STRUCTURE OVER EXISTING RESTAURANT PATIO, C-2 SMALL ASSEMBLY OCCUPANCY, TYPE III-B CONSTRUCTION PER PLANS. NO  ELECTRICAL PLBG, VENT WORK.","1500","75","0","1575","0","0","0","0","0","0","0","0","1575","10000","8","81800","42","41.89490267491706","-87.63430248411414","POINT (-87.634302484114 41.894902674917)","row-dfxv-ki6g_xx84","rv-qd95-8fxj_rteh","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","55","37","4446","652","36","22"
"3083941","100849217","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2019-11-19T00:00:00.000","2020-05-06T00:00:00.000","169","3458","N","CLARK ST","NEW OPEN METAL STRUCTURE ADDITION ON EXISTING ROOF DECK AND RESTAURANT PER PLANS, C-1 ASSEMBLY OCCUPANCY, TYPE I-C CONSTRUCTION.","500","75","0","575","0","0","0","0","0","0","0","0","575","50000","6","62200","44","41.94493958323155","-87.65486419395602","POINT (-87.654864193956 41.944939583232)","row-93nd~v3cn~cjaf","rv-h3h9-gnd6~uzz4","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","22","57","4449","710","25","38"
"3110168","100864484","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-05-01T00:00:00.000","2020-05-01T00:00:00.000","0","9560","S","HALSTED ST","SELF-CERTIFICATION FOR THE ALTERATION TO EXISTING ORDER COUNTER AREA IN AN TYPE C-2 BUILDING FOR A MCDONALDS RESTAURANT CHANGES INCLUDE NEW MENU BOARD WALL, NEW COUNTERS, NEW FINISHES ON NEW WALL, RELOCATED ELECTRICAL TO SERVE POS AND MENU BOARDS.  THE BUILDING CLASSIFICATION IS II-B, AND THE PROPOSED USE/OCCUPANCY CLASSIFICATION WILL REMAIN UNCHANGED.","1500","75","0","1575","0","0","0","0","0","0","0","0","1575","55000","73","730400","21","41.719735537007516","-87.64331420520205","POINT (-87.643314205202 41.719735537008)","row-65gb~6m22_si7c","rv-w6tq~k9ba.8wh9","2025-10-14T20:50:16.306Z","2025-12-19T13:19:32.677Z","13","72","21861","592","13","18"
"3001371","100799206","PERMIT - RENOVATION/ALTERATION","STANDARD PLAN REVIEW","2019-04-12T00:00:00.000","2020-05-01T00:00:00.000","385","1443","E","87TH ST","INTERIOR AND EXTERIOR REMODEL OF AN EXISTING 1-STORY MCDONDLD'S RESTAURANT, TO INCLUDE SITE WORK(CONDITIONAL APPROVAL SUBJECT TO FIELD INSPECTIONS)","3000","75","0","3075","0","0","0","0","0","0","0","0","3075","1","48","480200","8","41.736759925543325","-87.58884170140198","POINT (-87.588841701402 41.736759925543)","row-tpp4-b5mr_9w6d","rv-vs5i_y2uy.euqi","2025-10-14T20:50:16.306Z","2025-10-14T21:02:08.484Z","61","44","21546","490","35","9"
"3118200","100870194","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-04-29T00:00:00.000","2020-04-29T00:00:00.000","0","5754","W","CHICAGO AVE","SELF-CERT  -  INTERIOR ALTERATION TO AN EXISTING TAKE OUT RESTAURANT (MERCANTILE OCCUPANCY PER LESS THAN 100 OCCUPANTS.  NO CHANGE TO EXISTING OCCUPANCY, ZONING, OR BUILDING ENVELOPE.  INTERIOR ALTERATIONS TO REPLACE LIGHT FIXTURES, CEILING, EXTEND HEIGHT OF LOW WALLS, AND ADD A NEW HVAC UNIT.","500","75","0","575","0","0","0","0","0","0","0","0","575","52000","25","251300","29","41.894896583865396","-87.769925394067","POINT (-87.769925394067 41.894896583865)","row-nfw9.z6iv~mmjn","rv-sedy-efsz-635n","2025-10-14T20:50:16.306Z","2025-10-14T21:00:49.817Z","5","26","4299","671","7","52"
"3080556","100847248","PERMIT - RENOVATION/ALTERATION","SELF CERT","2020-04-28T00:00:00.000","2020-04-28T00:00:00.000","0","2200","N","CALIFORNIA AVE","SELF-CERT: INTERIOR BUILDOUT OF PROPOSED BAR AND RESTAURANT ON FIRST FLOOR IN EXISTING 2-STORY MASONRY BUILDING ON THE FIRST FLOOR PER PLANS. BLACK IRON HOOD SYSTEM.","3251.9","75","0","3326.9","0","0","0","0","0","0","0","0","3326.9","200000","22","221300","1","41.921723514279485","-87.69746847935866","POINT (-87.697468479359 41.921723514279)","row-jber.iv99_fhmj","rv-i8se.8han_tiv5","2025-10-14T20:50:16.306Z","2025-10-14T22:28:47.593Z","1","23","22535","322","41","15"
